hp,attack,defense,special-attack,special-defense,speed,type_1,type_2,Pokemon
55,68,64,45,55,31,grass,,turtwig
75,89,85,55,65,36,grass,,grotle
95,109,105,75,85,56,grass,ground,torterra
44,58,44,58,44,61,fire,,chimchar
64,78,52,78,52,81,fire,fighting,monferno
76,104,71,104,71,108,fire,fighting,infernape
53,51,53,61,56,40,water,,piplup
64,66,68,81,76,50,water,,prinplup
84,86,88,111,101,60,water,steel,empoleon
40,55,30,30,30,60,normal,flying,starly
55,75,50,40,40,80,normal,flying,staravia
85,120,70,50,60,100,normal,flying,staraptor
59,45,40,35,40,31,normal,,bidoof
79,85,60,55,60,71,normal,water,bibarel
37,25,41,25,41,25,bug,,kricketot
77,85,51,55,51,65,bug,,kricketune
45,65,34,40,34,45,electric,,shinx
60,85,49,60,49,60,electric,,luxio
80,120,79,95,79,70,electric,,luxray
40,30,35,50,70,55,grass,poison,budew
60,70,65,125,105,90,grass,poison,roserade
67,125,40,30,30,58,rock,,cranidos
97,165,60,65,50,58,rock,,rampardos
30,42,118,42,88,30,rock,steel,shieldon
60,52,168,47,138,30,rock,steel,bastiodon
40,29,45,29,45,36,bug,,burmy
60,59,85,79,105,36,bug,grass,wormadam-plant
70,94,50,94,50,66,bug,flying,mothim
30,30,42,30,42,70,bug,flying,combee
70,80,102,80,102,40,bug,flying,vespiquen
60,45,70,45,90,95,electric,,pachirisu
55,65,35,60,30,85,water,,buizel
85,105,55,85,50,115,water,,floatzel
45,35,45,62,53,35,grass,,cherubi
70,60,70,87,78,85,grass,,cherrim
76,48,48,57,62,34,water,,shellos
111,83,68,92,82,39,water,ground,gastrodon
75,100,66,60,66,115,normal,,ambipom
90,50,34,60,44,70,ghost,flying,drifloon
150,80,44,90,54,80,ghost,flying,drifblim
55,66,44,44,56,85,normal,,buneary
65,76,84,54,96,105,normal,,lopunny
60,60,60,105,105,105,ghost,,mismagius
100,125,52,105,52,71,dark,flying,honchkrow
49,55,42,42,37,85,normal,,glameow
71,82,64,64,59,112,normal,,purugly
45,30,50,65,50,45,psychic,,chingling
63,63,47,41,41,74,poison,dark,stunky
103,93,67,71,61,84,poison,dark,skuntank
57,24,86,24,86,23,steel,psychic,bronzor
67,89,116,79,116,33,steel,psychic,bronzong
50,80,95,10,45,10,rock,,bonsly
20,25,45,70,90,60,psychic,fairy,mime-jr
100,5,5,15,65,30,normal,,happiny
76,65,45,92,42,91,normal,flying,chatot
50,92,108,92,108,35,ghost,dark,spiritomb
58,70,45,40,45,42,dragon,ground,gible
68,90,65,50,55,82,dragon,ground,gabite
108,130,95,80,85,102,dragon,ground,garchomp
135,85,40,40,85,5,normal,,munchlax
40,70,40,35,40,60,fighting,,riolu
70,110,70,115,70,90,fighting,steel,lucario
68,72,78,38,42,32,ground,,hippopotas
108,112,118,68,72,47,ground,,hippowdon
40,50,90,30,55,65,poison,bug,skorupi
70,90,110,60,75,95,poison,dark,drapion
48,61,40,61,40,50,poison,fighting,croagunk
83,106,65,86,65,85,poison,fighting,toxicroak
74,100,72,90,72,46,grass,,carnivine
49,49,56,49,61,66,water,,finneon
69,69,76,69,86,91,water,,lumineon
45,20,50,60,120,50,water,flying,mantyke
60,62,50,62,60,40,grass,ice,snover
90,92,75,92,85,60,grass,ice,abomasnow
70,120,65,45,85,125,dark,ice,weavile
70,70,115,130,90,60,electric,steel,magnezone
110,85,95,80,95,50,normal,,lickilicky
115,140,130,55,55,40,ground,rock,rhyperior
100,100,125,110,50,50,grass,,tangrowth
75,123,67,95,85,95,electric,,electivire
75,95,67,125,95,83,fire,,magmortar
85,50,95,120,115,80,fairy,flying,togekiss
86,76,86,116,56,95,bug,flying,yanmega
65,110,130,60,65,95,grass,,leafeon
65,60,110,130,95,65,ice,,glaceon
75,95,125,45,75,95,ground,flying,gliscor
110,130,80,70,60,80,ice,ground,mamoswine
85,80,70,135,75,90,normal,,porygon-z
68,125,65,65,115,80,psychic,fighting,gallade
60,55,145,75,150,40,rock,steel,probopass
45,100,135,65,135,45,ghost,,dusknoir
70,80,70,80,70,110,ice,ghost,froslass
50,50,77,95,77,91,electric,ghost,rotom
75,75,130,75,130,95,psychic,,uxie
80,105,105,105,105,80,psychic,,mesprit
75,125,70,125,70,115,psychic,,azelf
100,120,120,150,100,90,steel,dragon,dialga
90,120,100,150,120,100,water,dragon,palkia
91,90,106,130,106,77,fire,steel,heatran
110,160,110,80,110,100,normal,,regigigas
150,100,120,100,120,90,ghost,dragon,giratina-altered
120,70,120,75,130,85,psychic,,cresselia
80,80,80,80,80,80,water,,phione
100,100,100,100,100,100,water,,manaphy
70,90,90,135,90,125,dark,,darkrai
100,100,100,100,100,100,grass,,shaymin-land
120,120,120,120,120,120,normal,,arceus
