hp,attack,defense,special-attack,special-defense,speed,type_1,type_2,Pokemon
45,49,65,49,65,45,grass,,chikorita
60,62,80,63,80,60,grass,,bayleef
80,82,100,83,100,80,grass,,meganium
39,52,43,60,50,65,fire,,cyndaquil
58,64,58,80,65,80,fire,,quilava
78,84,78,109,85,100,fire,,typhlosion
50,65,64,44,48,43,water,,totodile
65,80,80,59,63,58,water,,croconaw
85,105,100,79,83,78,water,,feraligatr
35,46,34,35,45,20,normal,,sentret
85,76,64,45,55,90,normal,,furret
60,30,30,36,56,50,normal,flying,hoothoot
100,50,50,86,96,70,normal,flying,noctowl
40,20,30,40,80,55,bug,flying,ledyba
55,35,50,55,110,85,bug,flying,ledian
40,60,40,40,40,30,bug,poison,spinarak
70,90,70,60,70,40,bug,poison,ariados
85,90,80,70,80,130,poison,flying,crobat
75,38,38,56,56,67,water,electric,chinchou
125,58,58,76,76,67,water,electric,lanturn
20,40,15,35,35,60,electric,,pichu
50,25,28,45,55,15,fairy,,cleffa
90,30,15,40,20,15,normal,fairy,igglybuff
35,20,65,40,65,20,fairy,,togepi
55,40,85,80,105,40,fairy,flying,togetic
40,50,45,70,45,70,psychic,flying,natu
65,75,70,95,70,95,psychic,flying,xatu
55,40,40,65,45,35,electric,,mareep
70,55,55,80,60,45,electric,,flaaffy
90,75,85,115,90,55,electric,,ampharos
75,80,95,90,100,50,grass,,bellossom
70,20,50,20,50,40,water,fairy,marill
100,50,80,60,80,50,water,fairy,azumarill
70,100,115,30,65,30,rock,,sudowoodo
90,75,75,90,100,70,water,,politoed
35,35,40,35,55,50,grass,flying,hoppip
55,45,50,45,65,80,grass,flying,skiploom
75,55,70,55,95,110,grass,flying,jumpluff
55,70,55,40,55,85,normal,,aipom
30,30,30,30,30,30,grass,,sunkern
75,75,55,105,85,30,grass,,sunflora
65,65,45,75,45,95,bug,flying,yanma
55,45,45,25,25,15,water,ground,wooper
95,85,85,65,65,35,water,ground,quagsire
65,65,60,130,95,110,psychic,,espeon
95,65,110,60,130,65,dark,,umbreon
60,85,42,85,42,91,dark,flying,murkrow
95,75,80,100,110,30,water,psychic,slowking
60,60,60,85,85,85,ghost,,misdreavus
48,72,48,72,48,48,psychic,,unown
190,33,58,33,58,33,psychic,,wobbuffet
70,80,65,90,65,85,normal,psychic,girafarig
50,65,90,35,35,15,bug,,pineco
75,90,140,60,60,40,bug,steel,forretress
100,70,70,65,65,45,normal,,dunsparce
65,75,105,35,65,85,ground,flying,gligar
75,85,200,55,65,30,steel,ground,steelix
60,80,50,40,40,30,fairy,,snubbull
90,120,75,60,60,45,fairy,,granbull
65,95,85,55,55,85,water,poison,qwilfish
70,130,100,55,80,65,bug,steel,scizor
20,10,230,10,230,5,bug,rock,shuckle
80,125,75,40,95,85,bug,fighting,heracross
55,95,55,35,75,115,dark,ice,sneasel
60,80,50,50,50,40,normal,,teddiursa
90,130,75,75,75,55,normal,,ursaring
40,40,40,70,40,20,fire,,slugma
60,50,120,90,80,30,fire,rock,magcargo
50,50,40,30,30,50,ice,ground,swinub
100,100,80,60,60,50,ice,ground,piloswine
65,55,95,65,95,35,water,rock,corsola
35,65,35,65,35,65,water,,remoraid
75,105,75,105,75,45,water,,octillery
45,55,45,65,45,75,ice,flying,delibird
85,40,70,80,140,70,water,flying,mantine
65,80,140,40,70,70,steel,flying,skarmory
45,60,30,80,50,65,dark,fire,houndour
75,90,50,110,80,95,dark,fire,houndoom
75,95,95,95,95,85,water,dragon,kingdra
90,60,60,40,40,40,ground,,phanpy
90,120,120,60,60,50,ground,,donphan
85,80,90,105,95,60,normal,,porygon2
73,95,62,85,65,85,normal,,stantler
55,20,35,20,45,75,normal,,smeargle
35,35,35,35,35,35,fighting,,tyrogue
50,95,95,35,110,70,fighting,,hitmontop
45,30,15,85,65,65,ice,psychic,smoochum
45,63,37,65,55,95,electric,,elekid
45,75,37,70,55,83,fire,,magby
95,80,105,40,70,100,normal,,miltank
255,10,10,75,135,55,normal,,blissey
90,85,75,115,100,115,electric,,raikou
115,115,85,90,75,100,fire,,entei
100,75,115,90,115,85,water,,suicune
50,64,50,45,50,41,rock,ground,larvitar
70,84,70,65,70,51,rock,ground,pupitar
100,134,110,95,100,61,rock,dark,tyranitar
106,90,130,90,154,110,psychic,flying,lugia
106,130,90,110,154,90,fire,flying,ho-oh
100,100,100,100,100,100,psychic,grass,celebi
