hp,attack,defense,special-attack,special-defense,speed,type_1,type_2,Pokemon
68,55,55,50,50,42,grass,flying,rowlet
78,75,75,70,70,52,grass,flying,dartrix
78,107,75,100,100,70,grass,ghost,decidueye
45,65,40,60,40,70,fire,,litten
65,85,50,80,50,90,fire,,torracat
95,115,90,80,90,60,fire,dark,incineroar
50,54,54,66,56,40,water,,popplio
60,69,69,91,81,50,water,,brionne
80,74,74,126,116,60,water,fairy,primarina
35,75,30,30,30,65,normal,flying,pikipek
55,85,50,40,50,75,normal,flying,trumbeak
80,120,75,75,75,60,normal,flying,toucannon
48,70,30,30,30,45,normal,,yungoos
88,110,60,55,60,45,normal,,gumshoos
47,62,45,55,45,46,bug,,grubbin
57,82,95,55,75,36,bug,electric,charjabug
77,70,90,145,75,43,bug,electric,vikavolt
47,82,57,42,47,63,fighting,,crabrawler
97,132,77,62,67,43,fighting,ice,crabominable
75,70,70,98,70,93,fire,flying,oricorio-baile
40,45,40,55,40,84,bug,fairy,cutiefly
60,55,60,95,70,124,bug,fairy,ribombee
45,65,40,30,40,60,rock,,rockruff
75,115,65,55,65,112,rock,,lycanroc-midday
45,20,20,25,25,40,water,,wishiwashi-solo
50,53,62,43,52,45,poison,water,mareanie
50,63,152,53,142,35,poison,water,toxapex
70,100,70,45,55,45,ground,,mudbray
100,125,100,55,85,35,ground,,mudsdale
38,40,52,40,72,27,water,bug,dewpider
68,70,92,50,132,42,water,bug,araquanid
40,55,35,50,35,35,grass,,fomantis
70,105,90,80,90,45,grass,,lurantis
40,35,55,65,75,15,grass,fairy,morelull
60,45,80,90,100,30,grass,fairy,shiinotic
48,44,40,71,40,77,poison,fire,salandit
68,64,60,111,60,117,poison,fire,salazzle
70,75,50,45,50,50,normal,fighting,stufful
120,125,80,55,60,60,normal,fighting,bewear
42,30,38,30,38,32,grass,,bounsweet
52,40,48,40,48,62,grass,,steenee
72,120,98,50,98,72,grass,,tsareena
51,52,90,82,110,100,fairy,,comfey
90,60,80,90,110,60,normal,psychic,oranguru
100,120,90,40,60,80,fighting,,passimian
25,35,40,20,30,80,bug,water,wimpod
75,125,140,60,90,40,bug,water,golisopod
55,55,80,70,45,15,ghost,ground,sandygast
85,75,110,100,75,35,ghost,ground,palossand
55,60,130,30,130,5,water,,pyukumuku
95,95,95,95,95,59,normal,,type-null
95,95,95,95,95,95,normal,,silvally
60,60,100,60,100,60,rock,flying,minior-red-meteor
65,115,65,75,95,65,normal,,komala
60,78,135,91,85,36,fire,dragon,turtonator
65,98,63,40,73,96,electric,steel,togedemaru
55,90,80,50,105,96,ghost,fairy,mimikyu-disguised
68,105,70,70,70,92,water,psychic,bruxish
78,60,85,135,91,36,normal,dragon,drampa
70,131,100,86,90,40,ghost,grass,dhelmise
45,55,65,45,45,45,dragon,,jangmo-o
55,75,90,65,70,65,dragon,fighting,hakamo-o
75,110,125,100,105,85,dragon,fighting,kommo-o
70,115,85,95,75,130,electric,fairy,tapu-koko
70,85,75,130,115,95,psychic,fairy,tapu-lele
70,130,115,85,95,75,grass,fairy,tapu-bulu
70,75,115,95,130,85,water,fairy,tapu-fini
43,29,31,29,31,37,psychic,,cosmog
43,29,131,29,131,37,psychic,,cosmoem
137,137,107,113,89,97,psychic,steel,solgaleo
137,113,89,137,107,97,psychic,ghost,lunala
109,53,47,127,131,103,rock,poison,nihilego
107,139,139,53,53,79,bug,fighting,buzzwole
71,137,37,137,37,151,bug,fighting,pheromosa
83,89,71,173,71,83,electric,,xurkitree
97,101,103,107,101,61,steel,flying,celesteela
59,181,131,59,31,109,grass,steel,kartana
223,101,53,97,53,43,dark,dragon,guzzlord
97,107,101,127,89,79,psychic,,necrozma
80,95,115,130,115,65,steel,fairy,magearna
90,125,80,90,90,125,fighting,ghost,marshadow
67,73,67,73,67,73,poison,,poipole
73,73,73,127,73,121,poison,dragon,naganadel
61,131,211,53,101,13,rock,steel,stakataka
53,127,53,151,79,107,fire,ghost,blacephalon
88,112,75,102,80,143,electric,,zeraora
46,65,65,55,35,34,steel,,meltan
135,143,143,80,65,34,steel,,melmetal
